Data_key,Game_number,Engine_Depth,Game_date,Game_type,White_player,Black_player,White_rating,Black_rating,My_colour,My_rating,Winner,User_winner,number_of_moves,White_accuracy,White_opening_accuracy,White_middle_accuracy,White_end_accuracy,No_best_white,No_great_white,No_good_white,No_ok_white,No_inaccuracy_white,No_mistake_white,No_blunder_white,Improvement_white,Black_accuracy,Black_opening_accuracy,Black_middle_accuracy,Black_end_accuracy,No_best_black,No_great_black,No_good_black,No_ok_black,No_inaccuracy_black,No_mistake_black,No_blunder_black,Improvement_black,User_accuracy,User_opening_accuracy,User_middle_accuracy,User_end_accuracy,No_best_user,No_great_user,No_good_user,No_ok_user,No_inaccuracy_user,No_mistake_user,No_blunder_user,Improvement_user
"34, 2020.11.13, 10",34,10,2020.11.13,600,alexander220204,Ainceer,1187,1203,Black,1203,Black,1,30,59.32,72.58,41.74,63.66,6,8,2,1,0,4,9,1,54.52,44.29,57.3,61.96,6,3,3,4,2,2,10,0,54.52,44.29,57.3,61.96,6,3,3,4,2,2,9,0
"35, 2020.11.13, 10",35,10,2020.11.13,600,captaintelb,Ainceer,1244,1192,Black,1192,White,0,23.5,72.31,84.22,75.24,57.46,9,5,2,2,0,0,6,2,62.89,79.05,43.75,66.28,3,4,2,5,3,1,5,1,62.89,79.05,43.75,66.28,3,4,2,5,3,1,6,1
"36, 2020.11.13, 10",36,10,2020.11.13,600,Ainceer,chopsticks10,1181,1212,White,1181,Black,0,25,62.61,91.54,56.07,36.59,10,4,1,0,1,1,8,2,67.42,88.04,61.65,50,9,5,0,3,2,0,6,2,62.61,91.54,56.07,36.59,10,4,1,0,1,1,8,2
"37, 2020.11.13, 10",37,10,2020.11.13,180,Ainceer,LanguageNerd,1018,1195,White,1018,Black,0,24.5,61.04,94.64,60.03,24.24,5,6,4,0,1,0,9,2,57.85,78.53,43.5,51.5,6,3,1,3,2,3,6,1,61.04,94.64,60.03,24.24,5,6,4,0,1,0,9,2
"38, 2020.11.13, 10",38,10,2020.11.13,180,Ainceer,osocratico,1161,1083,White,1161,White,1,14.5,81.19,89.84,93.74,60,9,1,1,2,0,0,2,2,43.99,62.1,40.62,25.58,3,1,0,1,1,2,6,2,81.19,89.84,93.74,60,9,1,1,2,0,0,2,2
"39, 2020.11.13, 10",39,10,2020.11.13,180,Ainceer,D4one,1060,1122,White,1060,Black,0,6,77.74,94.56,89.68,48.99,2,1,1,1,0,0,1,2,87.36,74.48,88.04,99.56,1,2,1,2,0,0,0,0,77.74,94.56,89.68,48.99,2,1,1,1,0,0,1,2
"40, 2020.11.13, 10",40,10,2020.11.13,180,sjacob89,Ainceer,1155,1006,Black,1006,White,0,30.5,67.51,81.8,69.02,50.26,12,4,2,3,1,2,7,2,75.5,88.99,60.85,76.68,10,8,2,4,0,0,6,1,75.5,88.99,60.85,76.68,10,8,2,4,0,0,7,1
"41, 2020.11.14, 10",41,10,2020.11.14,600,nialsigh,Ainceer,1236,1171,Black,1171,White,0,55.5,76.14,83,69.85,75.54,25,8,4,6,3,2,8,1,74.06,84.2,61.25,76.17,26,9,3,3,1,2,11,1,74.06,84.2,61.25,76.17,26,9,3,3,1,2,8,1
"42, 2020.11.14, 10",42,10,2020.11.14,600,Ainceer,tejas3010,1160,1173,White,1160,Black,0,12,72.63,99.29,50.84,67.76,5,2,1,1,0,0,3,1,96.19,88.75,99.82,100,6,5,0,1,0,0,0,0,72.63,99.29,50.84,67.76,5,2,1,1,0,0,3,1
"43, 2020.11.14, 10",43,10,2020.11.14,600,mahdihoseinii,Ainceer,1175,1150,Black,1150,White,0,13.5,64.52,82.34,45.85,65.57,4,3,0,2,1,0,4,1,66.67,94.12,73.2,25.82,5,2,2,0,0,0,4,2,66.67,94.12,73.2,25.82,5,2,2,0,0,0,4,2
"44, 2020.11.14, 10",44,10,2020.11.14,600,SamusAndrei,Ainceer,1144,1139,Black,1139,White,0,17.5,57.03,83.51,56.35,31.24,4,5,1,0,0,1,7,2,58.27,88.8,58.24,21.68,6,2,1,0,2,0,6,2,58.27,88.8,58.24,21.68,6,2,1,0,2,0,7,2
"45, 2020.11.14, 10",45,10,2020.11.14,600,endamccabe,Ainceer,1112,1128,Black,1128,White,0,24,75.05,94.12,68.99,62.02,7,9,1,2,0,0,5,2,60.03,88.17,50.58,41.34,5,6,1,2,2,1,7,2,60.03,88.17,50.58,41.34,5,6,1,2,2,1,5,2
"46, 2020.11.14, 10",46,10,2020.11.14,600,Ainceer,brownRoyalty,1138,1129,White,1138,White,1,26.5,81.79,89.27,72.38,83.74,13,2,4,4,1,0,3,1,76.11,81.01,71.2,76.1,6,6,1,7,3,1,2,1,81.79,89.27,72.38,83.74,13,2,4,4,1,0,3,1
"47, 2020.11.14, 10",47,10,2020.11.14,600,Ainceer,lukaszek666,1147,1120,White,1147,White,1,71.5,68.32,68.77,71.41,64.77,30,10,4,1,7,3,17,2,70,78.22,67.88,63.64,27,13,4,5,4,3,15,2,68.32,68.77,71.41,64.77,30,10,4,1,7,3,17,2
"48, 2020.11.15, 10",48,10,2020.11.15,600,kepje,Ainceer,1194,1139,Black,1139,White,0,27,69.05,93,41.92,72.22,8,6,2,2,2,1,6,1,59.34,73.04,30.89,74.09,7,4,1,4,1,2,8,1,59.34,73.04,30.89,74.09,7,4,1,4,1,2,6,1
"49, 2020.11.15, 10",49,10,2020.11.15,600,Ainceer,djthap,1149,1154,White,1149,White,1,21.5,82.33,85.59,73.47,87.48,9,6,1,1,2,1,2,1,71.66,91.38,80.06,43.55,5,7,1,2,2,1,3,2,82.33,85.59,73.47,87.48,9,6,1,1,2,1,2,1
"50, 2020.11.15, 10",50,10,2020.11.15,600,Ainceer,xvovikx,1140,1137,White,1140,Black,0,12,62.01,91.58,66.32,28.12,3,1,3,1,0,0,4,2,64.82,84,38.03,72.42,3,2,1,1,2,0,3,1,62.01,91.58,66.32,28.12,3,1,3,1,0,0,4,2
"51, 2020.11.15, 10",51,10,2020.11.15,600,xvovikx,Ainceer,1129,1148,Black,1148,Black,1,62,71.71,64.04,72.24,79.2,16,15,7,6,4,3,11,0,78.01,72.64,76.1,85.64,31,12,3,3,1,2,10,0,78.01,72.64,76.1,85.64,31,12,3,3,1,2,11,0
"52, 2020.11.16, 10",52,10,2020.11.16,600,mohamedhayder9,Ainceer,1086,1155,Black,1155,Black,1,14,83.61,93.01,81.09,75,6,4,1,1,0,0,2,2,81.91,81.6,67.74,100,9,2,0,0,0,0,3,1,81.91,81.6,67.74,100,9,2,0,0,0,0,2,1
"53, 2020.11.16, 10",53,10,2020.11.16,600,Ainceer,Cid27,1162,1106,White,1162,White,1,33.5,67.15,39.17,91.52,73.29,9,8,4,2,1,2,8,0,57.16,22.3,84.51,64.68,7,10,0,0,2,2,12,0,67.15,39.17,91.52,73.29,9,8,4,2,1,2,8,0
"54, 2020.11.16, 10",54,10,2020.11.16,600,Ainceer,forlit,1171,1195,White,1171,White,1,36.5,70.64,90.63,72.52,47.1,15,10,0,1,1,0,10,2,59.25,76.46,73.48,27.8,9,9,1,1,3,0,13,2,70.64,90.63,72.52,47.1,15,10,0,1,1,0,10,2
"55, 2020.11.17, 10",55,10,2020.11.17,600,ATon1s,Ainceer,1188,1171,Black,1171,Draw,0,14.5,89.45,98.37,91.74,78.23,5,6,1,2,0,0,1,2,83.39,70.97,97.88,80.82,3,8,0,0,1,1,1,0,83.39,70.97,97.88,80.82,3,8,0,0,1,1,1,0
"56, 2020.11.17, 10",56,10,2020.11.17,600,panu13,Ainceer,1132,1178,Black,1178,Black,1,13,63.42,93.88,52.94,35.83,4,1,2,0,2,1,3,2,80.22,99.96,60.76,75,7,2,0,2,0,0,2,1,80.22,99.96,60.76,75,7,2,0,2,0,0,3,1
"57, 2020.11.17, 10",57,10,2020.11.17,600,AndriaCasteddu,Ainceer,1154,1169,Black,1169,White,0,20.5,71.18,76.82,58.61,78.11,9,2,0,4,1,2,3,1,57.29,71.81,74.22,20.6,6,1,0,5,0,1,7,2,57.29,71.81,74.22,20.6,6,1,0,5,0,1,3,2
"58, 2020.11.17, 10",58,10,2020.11.17,600,Ainceer,TexasYazd,1162,1211,White,1162,Black,0,28.5,42.87,63.17,32.64,31.69,5,3,0,3,3,1,14,2,57.28,84.45,45.36,39.01,3,7,4,1,2,2,9,2,42.87,63.17,32.64,31.69,5,3,0,3,3,1,14,2
"59, 2020.11.17, 10",59,10,2020.11.17,600,Ainceer,Lasik44,1153,1124,White,1153,Black,0,17,82.73,97.78,70.27,79.6,9,4,1,0,0,1,2,1,71.94,72.38,71.92,71.43,6,4,0,2,0,3,2,2,82.73,97.78,70.27,79.6,9,4,1,0,0,1,2,1
"60, 2020.11.17, 10",60,10,2020.11.17,600,Lasik44,Ainceer,1117,1160,Black,1160,Black,1,41,68.27,81.85,64.34,57.89,16,7,2,3,1,2,10,2,76.73,66.68,65.17,100,26,1,2,1,3,1,7,1,76.73,66.68,65.17,100,26,1,2,1,3,1,10,1
"61, 2020.11.17, 10",61,10,2020.11.17,600,Ainceer,unknownelement,1168,1145,White,1168,White,1,13.5,82.19,90.36,70.61,86.43,7,3,0,0,3,0,1,1,89.64,93.56,99.63,74.74,7,4,0,1,0,0,1,2,82.19,90.36,70.61,86.43,7,3,0,0,3,0,1,1
"62, 2020.11.18, 10",62,10,2020.11.18,600,Yoni_Wan,Ainceer,1199,1161,Black,1161,White,0,15.5,90.17,98.81,89.97,80,10,3,1,1,0,0,1,2,66.75,80.14,80.12,40,4,5,0,1,0,1,4,2,66.75,80.14,80.12,40,4,5,0,1,0,1,1,2
"63, 2020.11.18, 10",63,10,2020.11.18,600,Ainceer,Shecker00,1168,1104,White,1168,White,1,17.5,80.52,91.03,98.7,51.81,8,4,2,1,0,1,2,2,67.74,90.57,61.86,47.39,3,6,1,2,0,1,4,2,80.52,91.03,98.7,51.81,8,4,2,1,0,1,2,2
"64, 2020.11.18, 10",64,10,2020.11.18,600,ConnorTJ72,Ainceer,1194,1160,Black,1160,White,0,31.5,67.67,87.34,50.78,64.62,11,4,4,2,2,1,8,1,63.56,83.97,59.34,45.33,9,6,3,1,2,2,8,2,63.56,83.97,59.34,45.33,9,6,3,1,2,2,8,2
"65, 2020.11.18, 10",65,10,2020.11.18,600,Ainceer,rahulchugh1201,1168,1166,White,1168,White,1,57.5,79.47,85.74,81.53,70.81,25,13,3,3,5,4,5,2,73.58,78.18,70.58,71.97,28,6,2,5,2,2,12,1,79.47,85.74,81.53,70.81,25,13,3,3,5,4,5,2
"66, 2020.11.18, 10",66,10,2020.11.18,600,Ainceer,laskarshiladitya,1161,1201,White,1161,Black,0,25,70.74,86.4,50.22,73.64,10,3,3,1,1,2,5,1,76.9,78.57,67.59,84.33,9,5,2,2,3,1,3,1,70.74,86.4,50.22,73.64,10,3,3,1,1,2,5,1
