Data_key,Game_number,Engine_Depth,Game_date,Game_type,White_player,Black_player,White_rating,Black_rating,My_colour,My_rating,Winner,User_winner,number_of_moves,White_accuracy,White_opening_accuracy,White_middle_accuracy,White_end_accuracy,No_best_white,No_great_white,No_good_white,No_ok_white,No_inaccuracy_white,No_mistake_white,No_blunder_white,Improvement_white,Black_accuracy,Black_opening_accuracy,Black_middle_accuracy,Black_end_accuracy,No_best_black,No_great_black,No_good_black,No_ok_black,No_inaccuracy_black,No_mistake_black,No_blunder_black,Improvement_black,User_accuracy,User_opening_accuracy,User_middle_accuracy,User_end_accuracy,No_best_user,No_great_user,No_good_user,No_ok_user,No_inaccuracy_user,No_mistake_user,No_blunder_user,Improvement_user
"1862, 2021.03.08, 10",1862,10,2021.03.08,180,Ainceer,plunderer43,1037,1124,White,1037,Black,0,7.5,75.81,89.37,79.46,50,2,2,1,2,0,0,1,2,92.75,86.53,94.84,100,4,1,1,1,0,0,0,0,75.81,89.37,79.46,50,2,2,1,2,0,0,1,2
"1863, 2021.03.08, 10",1863,10,2021.03.08,180,Ashtagged,Ainceer,1095,1030,Black,1030,White,0,29.5,93.21,98.49,97.07,84.08,11,15,1,2,0,0,1,2,86.84,95.61,88.59,75.15,12,7,5,1,3,0,1,2,86.84,95.61,88.59,75.15,12,7,5,1,3,0,1,2
"1864, 2021.03.08, 10",1864,10,2021.03.08,180,Ainceer,Schmated,1023,1086,White,1023,Black,0,66,79.23,84.43,88.28,64.98,32,12,4,5,2,1,10,2,79.63,87.43,71.1,80.37,35,10,4,3,3,2,9,1,79.23,84.43,88.28,64.98,32,12,4,5,2,1,10,2
"1865, 2021.03.08, 10",1865,10,2021.03.08,180,milakol,Ainceer,1032,1015,Black,1015,White,0,19.5,82.19,96.1,63.24,88.07,10,3,1,2,2,0,2,1,60.37,88.76,37.33,50.3,6,2,3,0,0,2,6,1,60.37,88.76,37.33,50.3,6,2,3,0,0,2,2,1
"1866, 2021.03.08, 10",1866,10,2021.03.08,180,StewKI,Ainceer,1026,1007,Black,1007,White,0,10.5,82.93,96.32,61.02,94.28,4,3,2,0,1,0,1,1,76.23,99.64,54.58,66.67,4,2,1,1,0,0,2,1,76.23,99.64,54.58,66.67,4,2,1,1,0,0,1,1
"1867, 2021.03.08, 10",1867,10,2021.03.08,180,Ainceer,IROALIO,1014,950,White,1014,White,1,22,73.47,92.23,49.72,75.78,10,3,0,2,3,1,3,1,65.99,81.71,66.27,47.74,8,3,1,2,2,1,5,2,73.47,92.23,49.72,75.78,10,3,0,2,3,1,3,1
"1868, 2021.03.08, 10",1868,10,2021.03.08,180,Ainceer,VINK0510,1005,988,White,1005,Black,0,22,81.66,94.26,70.52,78.39,8,8,0,2,1,1,2,1,76.87,93.94,71.3,62.91,11,3,2,1,0,1,4,2,81.66,94.26,70.52,78.39,8,8,0,2,1,1,2,1
"1869, 2021.03.08, 10",1869,10,2021.03.08,180,benjamingoossens,Ainceer,827,1013,Black,1013,Black,1,14,69.09,82.17,47.24,80.07,5,2,1,1,1,1,3,1,74.82,94.71,76.37,48.03,4,3,3,1,1,0,2,2,74.82,94.71,76.37,48.03,4,3,3,1,1,0,3,2
"1870, 2021.03.08, 10",1870,10,2021.03.08,180,Ainceer,JBERT11111,1020,962,White,1020,White,1,43.5,72.06,58.53,81.46,76.5,18,9,2,3,0,2,10,0,65.33,62.8,56.09,77.26,12,8,2,7,1,1,12,1,72.06,58.53,81.46,76.5,18,9,2,3,0,2,10,0
"1871, 2021.03.08, 10",1871,10,2021.03.08,180,EladamriSensei,Ainceer,942,1026,Black,1026,Black,1,16,73.16,84.96,75.53,56.63,4,4,3,1,1,0,3,2,70.32,97.04,67.2,41.38,6,4,0,1,1,0,4,2,70.32,97.04,67.2,41.38,6,4,0,1,1,0,3,2
"1872, 2021.03.08, 10",1872,10,2021.03.08,180,Ainceer,JustinDeWitt99,1018,1067,White,1018,Black,0,13,47.15,68.55,60.83,6.72,3,1,1,0,1,2,5,2,55.15,41.56,77.2,50.08,5,0,0,1,2,1,4,0,47.15,68.55,60.83,6.72,3,1,1,0,1,2,5,2
"1873, 2021.03.08, 10",1873,10,2021.03.08,180,blubufalo,Ainceer,969,1025,Black,1025,Black,1,50,77.79,79.81,76.81,76.69,19,15,4,1,1,2,8,2,76.31,67.33,80.7,81.19,21,11,3,2,3,2,8,0,76.31,67.33,80.7,81.19,21,11,3,2,3,2,8,0
"1874, 2021.03.08, 10",1874,10,2021.03.08,180,JKKknut,Ainceer,1005,1033,Black,1033,Black,1,43,62.82,81.27,44.73,61.16,11,10,3,3,2,0,14,1,68.57,81.07,53.88,69.88,16,6,1,8,1,1,10,1,68.57,81.07,53.88,69.88,16,6,1,8,1,1,14,1
"1875, 2021.03.08, 10",1875,10,2021.03.08,180,Ainceer,Kenajaaron,1026,1089,White,1026,Black,0,33,75.84,94.89,79.74,52.88,7,12,5,2,0,1,6,2,81.91,91,76.59,78.15,11,11,3,0,4,0,4,1,75.84,94.89,79.74,52.88,7,12,5,2,0,1,6,2
"1876, 2021.03.08, 10",1876,10,2021.03.08,180,Ainceer,MrAlfy,1019,1056,White,1019,Black,0,4,61.98,92.42,63.08,0,1,0,1,1,0,0,1,2,93.91,87.82,100,100,2,1,1,0,0,0,0,0,61.98,92.42,63.08,0,1,0,1,1,0,0,1,2
"1877, 2021.03.08, 10",1877,10,2021.03.08,180,maffo93,Ainceer,986,1026,Black,1026,Black,1,42,69.68,85.41,60.33,63.3,12,12,1,4,2,1,10,1,63.54,86.96,68.1,35.56,14,6,3,3,2,2,12,2,63.54,86.96,68.1,35.56,14,6,3,3,2,2,10,2
"1878, 2021.03.09, 10",1878,10,2021.03.09,180,Ainceer,paulopires83,1034,997,White,1034,White,1,55.5,68.44,71.56,63.51,70.35,20,6,5,7,4,3,11,1,77.6,79.06,70.81,82.84,23,15,3,1,2,1,10,1,68.44,71.56,63.51,70.35,20,6,5,7,4,3,11,1
"1879, 2021.03.09, 10",1879,10,2021.03.09,180,Ainceer,Panterarules2500,1043,1075,White,1043,White,1,7.5,83.92,98.06,91.5,51.33,3,3,0,1,0,0,1,2,68.14,92.33,100,0,2,2,1,0,0,0,2,2,83.92,98.06,91.5,51.33,3,3,0,1,0,0,1,2
"1880, 2021.03.09, 10",1880,10,2021.03.09,180,Ainceer,prase23,1050,1013,White,1050,White,1,26.5,80.12,94.24,83.27,62.85,9,8,3,3,0,0,4,2,68.83,85.39,73.71,44.71,6,7,3,2,2,1,5,2,80.12,94.24,83.27,62.85,9,8,3,3,0,0,4,2
"1881, 2021.03.09, 10",1881,10,2021.03.09,180,solanki777,Ainceer,1034,1058,Black,1058,Black,1,40,73.86,74.77,77.49,69.26,16,9,1,3,2,1,8,2,75.85,64.69,85.2,78.51,20,5,1,5,1,0,8,0,75.85,64.69,85.2,78.51,20,5,1,5,1,0,8,0
"1882, 2021.03.09, 10",1882,10,2021.03.09,180,jjmug,Ainceer,958,1064,Black,1064,Black,1,60,68.69,88.82,74.71,42.54,14,19,2,8,0,1,16,2,73.36,80.56,80.29,59.21,25,9,4,7,2,2,11,2,73.36,80.56,80.29,59.21,25,9,4,7,2,2,16,2
"1883, 2021.03.09, 10",1883,10,2021.03.09,180,Ainceer,Yuriy_22,1055,1147,White,1055,Black,0,1.5,50,100,0,0,1,0,0,0,0,0,1,2,3.52,3.52,0,0,0,0,0,0,0,0,1,2,50,100,0,0,1,0,0,0,0,0,1,2
"1884, 2021.03.09, 10",1884,10,2021.03.09,180,whoopsyoublundered,Ainceer,1042,1063,Black,1063,Black,1,58,66.43,80.33,58.9,59.33,24,7,3,4,2,3,15,1,63.24,85.74,46.96,55.82,18,10,4,3,4,1,18,1,63.24,85.74,46.96,55.82,18,10,4,3,4,1,15,1
"1885, 2021.03.09, 10",1885,10,2021.03.09,180,rangeltomaz,Ainceer,1085,1055,Black,1055,White,0,26.5,73.26,87.58,50.79,81.41,11,5,3,1,0,1,6,1,68.57,83.98,79.62,38.81,9,5,1,3,1,0,7,2,68.57,83.98,79.62,38.81,9,5,1,3,1,0,6,2
"1886, 2021.03.09, 10",1886,10,2021.03.09,180,Ainceer,Kiaer,1045,998,White,1045,Black,0,14.5,61.64,93.04,68.29,23.59,4,2,2,1,1,0,5,2,78.58,95,68.12,71.12,4,5,2,0,1,0,2,1,61.64,93.04,68.29,23.59,4,2,2,1,1,0,5,2
"1887, 2021.03.09, 10",1887,10,2021.03.09,180,carrotox,Ainceer,1059,1054,Black,1054,Black,1,33,70.84,80.93,58.3,73.29,9,6,3,3,5,3,4,1,69.08,82.57,54.15,70.51,11,5,3,1,5,1,7,1,69.08,82.57,54.15,70.51,11,5,3,1,5,1,4,1
"1888, 2021.03.09, 10",1888,10,2021.03.09,180,Ainceer,Gussbold,1062,1031,White,1062,White,1,40.5,79.57,81.76,67.41,90.3,20,8,0,5,2,0,6,1,71.64,78.38,73.44,62.6,14,7,5,3,1,1,9,2,79.57,81.76,67.41,90.3,20,8,0,5,2,0,6,1
"1889, 2021.03.09, 10",1889,10,2021.03.09,180,ReclinableChair,Ainceer,1070,1054,Black,1054,White,0,25,76.12,89.28,62.67,74.76,11,7,0,1,1,0,5,1,73.27,98.06,66.8,51.84,12,5,1,0,0,1,6,2,73.27,98.06,66.8,51.84,12,5,1,0,0,1,5,2
"1890, 2021.03.10, 10",1890,10,2021.03.10,180,Ainceer,PacolliImer3333,1045,1019,White,1045,Black,0,13,77.45,91.96,94.35,42.42,2,5,2,2,0,0,2,2,96.67,93.43,97.4,100,5,7,1,0,0,0,0,0,77.45,91.96,94.35,42.42,2,5,2,2,0,0,2,2
"1891, 2021.03.10, 10",1891,10,2021.03.10,180,Japolinario,Ainceer,1061,1037,Black,1037,White,0,43.5,69.36,79.51,55.35,73.5,19,5,3,4,1,2,10,1,70.66,83.31,61.14,66.62,20,7,0,3,1,1,11,1,70.66,83.31,61.14,66.62,20,7,0,3,1,1,10,1
"1892, 2021.03.10, 10",1892,10,2021.03.10,180,Ainceer,GabrielAbraao,1046,1072,White,1046,White,1,53.5,80.49,90.96,72.91,77.59,29,10,1,3,3,0,8,1,77.95,87.89,75.24,70.29,28,8,2,3,1,3,8,2,80.49,90.96,72.91,77.59,29,10,1,3,3,0,8,1
"1893, 2021.03.10, 10",1893,10,2021.03.10,180,jaumecaygar,Ainceer,1085,1039,Black,1039,White,0,21,60.54,82.85,52.3,46.47,5,4,0,3,2,1,6,2,65.42,95.62,51.58,49.06,8,3,0,2,1,1,6,2,65.42,95.62,51.58,49.06,8,3,0,2,1,1,6,2
"1894, 2021.03.10, 10",1894,10,2021.03.10,180,Ainceer,AGuryanov,1031,1029,White,1031,Black,0,32,59.3,82.54,58.94,34.11,9,2,4,3,1,4,9,2,82.01,92.17,85.65,66.85,9,11,5,3,0,0,4,2,59.3,82.54,58.94,34.11,9,2,4,3,1,4,9,2
"1895, 2021.03.10, 10",1895,10,2021.03.10,180,Ainceer,VENANDl,1038,988,White,1038,White,1,51.5,76.06,85.18,71.06,71.42,23,11,2,2,3,2,9,1,79.6,84.77,64.26,89.76,18,13,6,6,1,1,6,1,76.06,85.18,71.06,71.42,23,11,2,2,3,2,9,1
"1896, 2021.03.10, 10",1896,10,2021.03.10,180,Hooper30,Ainceer,1043,1046,Black,1046,Black,1,49,77.51,80.2,75.6,76.57,19,17,0,2,1,0,10,1,76.42,83.64,73.78,71.39,20,9,5,4,2,1,8,2,76.42,83.64,73.78,71.39,20,9,5,4,2,1,10,2
"1897, 2021.03.11, 10",1897,10,2021.03.11,180,Ainceer,stanleywildsmith,1038,1034,White,1038,Black,0,18.5,75.97,85.68,78.46,62.15,6,5,1,3,1,0,3,2,76.47,78.18,70.82,80.39,4,4,1,4,4,0,1,1,75.97,85.68,78.46,62.15,6,5,1,3,1,0,3,2
"1898, 2021.03.11, 10",1898,10,2021.03.11,180,Ainceer,Thekingdomofme302,1045,986,White,1045,White,1,48.5,68.5,61.26,70.47,74.21,17,9,3,4,2,1,13,0,64.39,59.11,62.34,71.71,18,8,2,3,1,2,14,0,68.5,61.26,70.47,74.21,17,9,3,4,2,1,13,0
"1899, 2021.03.11, 10",1899,10,2021.03.11,180,Thekingdomofme302,Ainceer,995,1036,Black,1036,White,0,13,57.82,63.2,57.96,50.95,2,4,0,1,0,1,5,2,62.45,98.17,48.72,31.52,4,3,0,0,1,1,4,2,62.45,98.17,48.72,31.52,4,3,0,0,1,1,5,2
"1900, 2021.03.11, 10",1900,10,2021.03.11,180,JesDaMess,Ainceer,1069,1045,Black,1045,Black,1,41,66.92,75.66,51.79,73.81,7,5,6,11,3,2,7,1,66.52,67.05,52.99,80.51,9,9,4,4,4,3,8,1,66.52,67.05,52.99,80.51,9,9,4,4,4,3,7,1
"1901, 2021.03.11, 10",1901,10,2021.03.11,180,Ainceer,HT_Check82,1054,1084,White,1054,White,1,63.5,66.66,56.69,76.16,67.61,25,7,6,3,4,4,15,0,65.02,64.43,71.8,58.82,18,13,2,8,3,2,17,2,66.66,56.69,76.16,67.61,25,7,6,3,4,4,15,0
"1902, 2021.03.11, 10",1902,10,2021.03.11,180,Asdamov,Ainceer,1088,1063,Black,1063,Black,1,29,73.3,85.75,71.51,61.44,9,5,2,5,3,1,4,2,74.27,81.75,77.8,62.05,13,5,0,3,1,2,5,2,74.27,81.75,77.8,62.05,13,5,0,3,1,2,4,2
"1903, 2021.03.11, 10",1903,10,2021.03.11,180,Deathraynor2,Ainceer,1119,1056,Black,1056,White,0,16.5,80.61,98.45,84.12,54.99,5,7,0,2,0,1,2,2,80.13,98.43,98.33,39.97,6,7,0,0,0,0,3,2,80.13,98.43,98.33,39.97,6,7,0,0,0,0,2,2
"1904, 2021.03.11, 10",1904,10,2021.03.11,180,Ainceer,adarshrks4,1049,1111,White,1049,Black,0,23,63.26,89.43,70.81,24.72,4,6,2,3,1,1,6,2,63.11,91.28,61.24,33.04,5,6,1,3,1,0,7,2,63.26,89.43,70.81,24.72,4,6,2,3,1,1,6,2
"1905, 2021.03.11, 10",1905,10,2021.03.11,180,4Windsor,Ainceer,1020,1057,Black,1057,Black,1,24.5,74.49,98.81,63.99,57.64,8,8,1,1,1,1,5,2,84.21,89.29,81.09,82.26,10,6,1,4,1,1,1,1,84.21,89.29,81.09,82.26,10,6,1,4,1,1,5,1
"1906, 2021.03.11, 10",1906,10,2021.03.11,180,Ainceer,chrisadrianmagarro,1049,1082,White,1049,Black,0,33,74.24,96.77,79.53,46.4,11,9,3,2,0,1,7,2,77.34,82.68,87.63,61.7,13,9,2,1,0,3,5,2,74.24,96.77,79.53,46.4,11,9,3,2,0,1,7,2
"1907, 2021.03.11, 10",1907,10,2021.03.11,180,badrinarayanbhutada,Ainceer,1050,1049,Black,1049,Draw,0,52.5,77.04,86.36,54.79,90.72,22,14,4,1,2,0,10,1,70.32,78.04,42.89,89.56,26,6,1,2,3,0,14,1,70.32,78.04,42.89,89.56,26,6,1,2,3,0,10,1
"1908, 2021.03.11, 10",1908,10,2021.03.11,180,Ainceer,dspill100,1041,1076,White,1041,Black,0,5.5,80.24,98.58,97.29,44.84,1,3,1,0,0,0,1,2,98.11,98.26,99.72,94.6,2,3,0,0,0,0,0,2,80.24,98.58,97.29,44.84,1,3,1,0,0,0,1,2
"1909, 2021.03.11, 10",1909,10,2021.03.11,180,Ainceer,emersonpavel,1040,1013,White,1040,Draw,0,71,80.57,76.91,68.94,96.53,20,27,7,3,2,2,10,1,80.98,73.72,74.3,95.54,26,23,3,4,4,3,8,0,80.57,76.91,68.94,96.53,20,27,7,3,2,2,10,1
"1910, 2021.03.11, 10",1910,10,2021.03.11,180,nepe8050,Ainceer,1020,1031,Black,1031,White,0,12.5,96,97.47,95.54,94.61,4,7,2,0,0,0,0,2,88.89,97.81,97.69,71.18,6,4,1,0,0,0,1,2,88.89,97.81,97.69,71.18,6,4,1,0,0,0,0,2
"1911, 2021.03.11, 10",1911,10,2021.03.11,180,lucian_ionel,Ainceer,1001,1038,Black,1038,Black,1,32,58.71,51.77,66.03,58.31,9,4,1,2,5,2,9,0,56.17,64.55,42.98,61.45,10,4,1,3,0,2,12,1,56.17,64.55,42.98,61.45,10,4,1,3,0,2,9,1
"1912, 2021.03.11, 10",1912,10,2021.03.11,180,Ainceer,northlander,1030,1034,White,1030,Black,0,17.5,65.13,66.47,67.6,61.33,4,4,1,3,1,1,4,2,71.22,72.14,84.83,53.79,5,2,2,4,2,0,2,2,65.13,66.47,67.6,61.33,4,4,1,3,1,1,4,2
"1913, 2021.03.12, 10",1913,10,2021.03.12,180,Remi122,Ainceer,1030,1038,Black,1038,Black,1,52,66.8,62.26,62.26,76.16,17,9,4,4,3,1,14,2,73.45,70.78,57.9,91.84,27,8,0,3,1,1,12,1,73.45,70.78,57.9,91.84,27,8,0,3,1,1,14,1
"1914, 2021.03.12, 10",1914,10,2021.03.12,180,Ainceer,bignicbruh,1030,1043,White,1030,Black,0,17.5,80.23,85.23,90.94,64.51,5,5,2,4,0,0,2,2,83.21,91.61,79.32,77.81,4,7,0,4,0,1,1,2,80.23,85.23,90.94,64.51,5,5,2,4,0,0,2,2
"1915, 2021.03.12, 10",1915,10,2021.03.12,180,NescafeBey,Ainceer,1004,1029,Black,1029,Draw,0,65.5,60.2,45.97,72.35,62.27,20,13,3,2,3,1,24,0,65.22,63.85,68.39,63.34,27,9,2,2,4,3,18,2,65.22,63.85,68.39,63.34,27,9,2,2,4,3,24,2
"1916, 2021.03.12, 10",1916,10,2021.03.12,180,Ainceer,hyrullah,1021,1050,White,1021,Black,0,19.5,63.07,86.88,52.8,47.26,6,3,1,2,2,1,5,2,60.86,66.38,64.28,51,6,3,1,1,2,0,6,2,63.07,86.88,52.8,47.26,6,3,1,2,2,1,5,2
"1917, 2021.03.12, 10",1917,10,2021.03.12,180,Ainceer,Magmaul,1028,967,White,1028,White,1,52,74.62,83.67,64.18,75.46,17,12,4,7,2,2,8,1,74.08,76.68,77.71,67.69,21,12,1,4,3,2,9,2,74.62,83.67,64.18,75.46,17,12,4,7,2,2,8,1
"1918, 2021.03.12, 10",1918,10,2021.03.12,180,jatinharrarry,Ainceer,975,1035,Black,1035,Black,1,56,84.95,90.81,90.25,73.17,22,18,3,5,2,3,3,2,88.78,92.35,92.32,81.25,24,19,2,6,2,0,3,2,88.78,92.35,92.32,81.25,24,19,2,6,2,0,3,2
"1919, 2021.03.12, 10",1919,10,2021.03.12,180,kidrobi,Ainceer,1003,1026,Black,1026,White,0,11,65.76,91.52,50.8,51.34,3,1,2,1,1,1,2,1,65.92,73.74,80.9,35.52,2,4,0,1,1,0,3,2,65.92,73.74,80.9,35.52,2,4,0,1,1,0,2,2
"1920, 2021.03.12, 10",1920,10,2021.03.12,180,Ainceer,chathur333,1035,1063,White,1035,White,1,64.5,68.53,75.67,74.23,55.08,22,12,4,7,1,2,17,2,67.58,61.47,77.79,63.78,20,16,3,4,1,3,17,0,68.53,75.67,74.23,55.08,22,12,4,7,1,2,17,2
"1921, 2021.03.12, 10",1921,10,2021.03.12,180,chathur333,Ainceer,1070,1028,Black,1028,White,0,14,87.01,81.02,93.93,85.83,6,5,0,1,1,0,1,0,65.31,88.22,67.3,34.2,3,4,0,1,2,1,3,2,65.31,88.22,67.3,34.2,3,4,0,1,2,1,1,2
"1922, 2021.03.12, 10",1922,10,2021.03.12,180,Ainceer,Veri001,1036,1023,White,1036,White,1,40.5,71.65,88.84,48.53,78.04,18,4,2,4,2,5,6,1,78.19,76.23,88.86,69.62,16,9,2,5,2,0,6,2,71.65,88.84,48.53,78.04,18,4,2,4,2,5,6,1
"1923, 2021.03.12, 10",1923,10,2021.03.12,180,Veri001,Ainceer,1015,1044,Black,1044,Black,1,18,53.86,88.21,49.12,24.24,2,4,2,2,1,0,7,2,64,90.35,51.16,50.49,8,3,0,0,1,0,6,2,64,90.35,51.16,50.49,8,3,0,0,1,0,7,2
"1924, 2021.03.12, 10",1924,10,2021.03.12,180,aldomatamala,Ainceer,1006,1051,Black,1051,Black,1,32,65.42,87.25,56.09,51.67,10,6,2,4,0,1,9,2,66.94,84.33,45.91,70.96,12,4,0,4,2,4,6,1,66.94,84.33,45.91,70.96,12,4,0,4,2,4,9,1
"1925, 2021.03.12, 10",1925,10,2021.03.12,180,Ainceer,Wolexus,1060,1073,White,1060,White,1,18.5,80.85,90.76,59.02,91.12,5,6,3,1,1,1,2,1,78.42,89.34,74.83,71.08,7,3,2,3,1,0,2,2,80.85,90.76,59.02,91.12,5,6,3,1,1,1,2,1
"1926, 2021.03.12, 10",1926,10,2021.03.12,180,YesBrazil888,Ainceer,1050,1068,Black,1068,Black,1,31,67.03,84.13,51.99,63.25,11,7,1,1,2,1,8,1,73.33,93.2,74.5,50.32,11,9,0,3,1,0,7,2,73.33,93.2,74.5,50.32,11,9,0,3,1,0,8,2
"1927, 2021.03.12, 10",1927,10,2021.03.12,180,Ainceer,mare1178,1076,1055,White,1076,White,1,51.5,69.27,92.83,51.62,61.97,21,9,1,3,6,0,12,1,71.53,78.7,60.74,75.14,18,13,2,3,2,2,11,1,69.27,92.83,51.62,61.97,21,9,1,3,6,0,12,1
"1928, 2021.03.12, 10",1928,10,2021.03.12,180,Ainceer,GentlemensBET,1083,1023,White,1083,White,1,55.5,79.94,80.27,83.37,75.98,21,16,4,5,1,0,9,2,80.36,79.76,83.68,77.67,23,11,4,8,2,1,6,2,79.94,80.27,83.37,75.98,21,16,4,5,1,0,9,2
"1929, 2021.03.12, 10",1929,10,2021.03.12,180,Leodante99,Ainceer,1053,1090,Black,1090,Black,1,21.5,70.37,89.26,72.44,46.7,8,4,1,2,2,0,5,2,66.71,87.63,55.2,57.3,4,7,1,2,2,0,5,1,66.71,87.63,55.2,57.3,4,7,1,2,2,0,5,1
"1930, 2021.03.12, 10",1930,10,2021.03.12,180,Ainceer,Leao52,1083,1127,White,1083,Black,0,45,80.83,91.06,67.78,83.65,20,12,1,4,1,0,7,1,70.68,76.92,54.46,80.67,14,12,2,3,4,0,10,1,80.83,91.06,67.78,83.65,20,12,1,4,1,0,7,1
"1931, 2021.03.12, 10",1931,10,2021.03.12,180,Ainceer,sxpchess,1091,1067,White,1091,White,1,20,79.01,93.43,58.07,86.62,10,5,0,1,0,0,4,1,81.74,91.14,66.65,88.37,10,2,2,2,1,2,1,1,79.01,93.43,58.07,86.62,10,5,0,1,0,0,4,1
"1932, 2021.03.12, 10",1932,10,2021.03.12,180,RingWalk,Ainceer,1090,1099,Black,1099,Black,1,72,63.69,72.94,52.22,65.91,20,15,6,4,2,5,20,1,59.24,70.24,54.65,52.85,22,15,2,1,3,2,27,2,59.24,70.24,54.65,52.85,22,15,2,1,3,2,20,2
"1933, 2021.03.12, 10",1933,10,2021.03.12,180,omaralmujahed,Ainceer,1072,1107,Black,1107,Black,1,33,83.37,96.32,71.18,82.59,13,9,2,4,2,0,3,1,81.68,90.83,72.86,81.34,11,8,6,3,2,0,3,1,81.68,90.83,72.86,81.34,11,8,6,3,2,0,3,1
"1934, 2021.03.12, 10",1934,10,2021.03.12,180,capolupo,Ainceer,1154,1100,Black,1100,White,0,47.5,66.27,78.27,63.27,57.27,17,6,3,5,4,2,11,2,71.08,86.28,67.05,59.16,17,7,4,5,4,1,9,2,71.08,86.28,67.05,59.16,17,7,4,5,4,1,11,2
"1935, 2021.03.12, 10",1935,10,2021.03.12,180,Ainceer,Fickle_Shickle,1092,1091,White,1092,Black,0,21,62.99,67.52,67.47,53.99,7,2,2,2,1,1,6,2,70.27,71.51,53.96,85.35,10,3,1,0,1,0,6,1,62.99,67.52,67.47,53.99,7,2,2,2,1,1,6,2
"1936, 2021.03.12, 10",1936,10,2021.03.12,180,Avgust89,Ainceer,1106,1084,Black,1084,White,0,11.5,79.18,69.2,92.85,75.48,4,3,2,1,0,0,2,0,64.74,54.99,98.01,33.39,3,4,0,0,0,0,4,2,64.74,54.99,98.01,33.39,3,4,0,0,0,0,2,2
"1937, 2021.03.12, 10",1937,10,2021.03.12,180,fran2704,Ainceer,1125,1093,Black,1093,Black,1,11.5,59.1,94.83,53.26,29.21,3,1,1,2,1,0,4,2,89.08,94.56,100,67.21,7,2,1,0,0,0,1,2,89.08,94.56,100,67.21,7,2,1,0,0,0,4,2
"1938, 2021.03.12, 10",1938,10,2021.03.12,180,Ainceer,HackTheHuddle,1086,1135,White,1086,Black,0,23,58.96,97.84,53.84,20.36,6,5,0,2,1,2,7,2,60.76,68.6,47.26,67.23,8,4,0,1,1,1,8,1,58.96,97.84,53.84,20.36,6,5,0,2,1,2,7,2
"1939, 2021.03.12, 10",1939,10,2021.03.12,180,Ainceer,arielocharli,1093,1032,White,1093,White,1,1.5,92.42,100,84.84,0,1,0,1,0,0,0,0,2,81.48,81.48,0,0,0,0,1,0,0,0,0,2,92.42,100,84.84,0,1,0,1,0,0,0,0,2
"1940, 2021.03.12, 10",1940,10,2021.03.12,180,Ainceer,DioMETATRON,1102,1121,White,1102,White,1,40.5,70.91,80.76,59.77,72.29,13,9,4,2,2,2,9,1,69.8,88.05,54.22,65.73,9,15,2,1,3,1,9,1,70.91,80.76,59.77,72.29,13,9,4,2,2,2,9,1
"1941, 2021.03.12, 10",1941,10,2021.03.12,180,mafundane,Ainceer,1117,1102,Black,1102,Draw,0,45,65.39,92,51.67,52.5,12,11,4,4,1,0,13,1,72.46,86.44,68.44,62.49,14,14,1,3,3,1,9,2,72.46,86.44,68.44,62.49,14,14,1,3,3,1,13,2
"1942, 2021.03.12, 10",1942,10,2021.03.12,180,Ainceer,Jadtent,1110,1073,White,1110,White,1,29.5,67.64,82.96,51.18,68.78,13,4,2,0,3,0,8,1,58.22,61,53.3,60.6,8,5,2,2,1,1,10,1,67.64,82.96,51.18,68.78,13,4,2,0,3,0,8,1
"1943, 2021.03.12, 10",1943,10,2021.03.12,180,Ainceer,astraldevil,1118,1092,White,1118,White,1,49.5,63.31,77.66,58.66,53,22,6,2,0,4,0,16,2,57.42,57.58,39.7,74.97,15,9,0,2,3,3,17,1,63.31,77.66,58.66,53,22,6,2,0,4,0,16,2
"1944, 2021.03.12, 10",1944,10,2021.03.12,180,zCostaH,Ainceer,1125,1110,Black,1110,White,0,25,60.16,89.29,42.28,45.27,4,6,1,2,4,2,6,1,65.94,97.38,45.66,50.86,5,8,1,1,2,2,6,1,65.94,97.38,45.66,50.86,5,8,1,1,2,2,6,1
"1945, 2021.03.12, 10",1945,10,2021.03.12,180,maaadair,Ainceer,1128,1102,Black,1102,White,0,13.5,84.23,96.75,80.81,72.85,4,5,2,1,0,1,1,2,57.4,98.08,52.85,11.08,4,2,1,0,0,1,5,2,57.4,98.08,52.85,11.08,4,2,1,0,0,1,1,2
"1946, 2021.03.12, 10",1946,10,2021.03.12,180,Ainceer,devidcastellani,1109,1054,White,1109,White,1,28.5,65.02,86.17,52,55.98,10,6,0,3,1,1,8,1,62.38,75.02,57.52,53.19,5,9,1,3,1,1,8,2,65.02,86.17,52,55.98,10,6,0,3,1,1,8,1
"1947, 2021.03.12, 10",1947,10,2021.03.12,180,19feb2021,Ainceer,1088,1100,Black,1100,White,0,15,89.41,97.56,86.53,84.14,6,4,3,1,0,0,1,2,70.33,86.71,62.53,61.74,2,6,1,1,2,0,3,2,70.33,86.71,62.53,61.74,2,6,1,1,2,0,1,2
"1948, 2021.03.12, 10",1948,10,2021.03.12,180,AlfredMA1,Ainceer,1061,1107,Black,1107,Black,1,20,41.17,54.03,50.79,14.96,3,3,1,0,2,1,10,2,43.1,76.11,31.37,18.27,4,2,1,1,1,0,11,2,43.1,76.11,31.37,18.27,4,2,1,1,1,0,10,2
