Game number,Game type,White player,Black player,White rating,Black rating,My colour,My rating,Winner,Did i win?,number of moves,White accuracy,White opening accuracy,White middle accuracy,White end accuracy,No. best white,No. great white,No. good white,No. ok white,No. inaccuracy white,No. mistake white,No. blunder white,Improvement white,Black accuracy,Black opening accuracy,Black middle accuracy,Black end accuracy,No. best black,No. great black,No. good black,No. ok black,No. inaccuracy black,No. mistake black,No. blunder black,Improvement black,User accuracy,User opening accuracy,User middle accuracy,User end accuracy,No. best user,No. great user,No. good user,No. ok user,No. inaccuracy user,No. mistake user,No. blunder user,Improvement user
228,180,Swapnilbiswas2007,Ainceer,771,773,Black,773,Black,True,20.0,64.88,79.41,50.5,64.71,6,4,0,2,3,0,5,1,77.86,91.75,69.72,71.15,10,3,1,0,2,1,3,1,77.86,91.75,69.72,71.15,10,3,1,0,2,1,5,1
229,180,Ainceer,baristac,763,810,White,763,Black,False,12.0,54.06,60.48,60.52,41.18,3,1,0,1,1,2,4,2,54.15,29.43,60.26,72.76,3,2,1,0,0,0,6,0,54.06,60.48,60.52,41.18,3,1,0,1,1,2,4,2
230,180,Ainceer,MrAsani,752,770,White,752,Black,False,38.0,58.09,76.06,45.7,52.03,8,9,3,1,0,3,14,1,72.21,86.39,50.52,80.34,12,7,6,1,3,1,8,1,58.09,76.06,45.7,52.03,8,9,3,1,0,3,14,1
231,180,Ainceer,noobchessplayerXDDDD,761,600,White,761,White,True,29.5,69.0,61.25,77.58,68.16,12,5,3,0,1,1,8,0,68.21,68.37,76.63,58.68,10,6,1,1,3,1,7,2,69.0,61.25,77.58,68.16,12,5,3,0,1,1,8,0
232,180,Koteddy,Ainceer,772,772,Black,772,Black,True,13.0,73.43,91.31,50.0,74.5,5,3,0,1,1,0,3,1,90.17,99.22,69.02,100.0,7,3,2,0,0,0,1,1,90.17,99.22,69.02,100.0,7,3,2,0,0,0,3,1
233,180,Ainceer,IvanLCX,762,802,White,762,Black,False,17.0,59.11,76.45,45.62,54.5,3,4,0,1,3,1,5,1,67.6,69.02,79.26,51.92,6,2,2,0,1,3,3,2,59.11,76.45,45.62,54.5,3,4,0,1,3,1,5,1
234,180,ludovichentsch,Ainceer,744,772,Black,772,Black,True,35.0,81.25,79.28,82.19,82.37,9,12,4,4,1,1,4,0,82.8,81.3,73.59,94.49,18,7,1,1,2,2,4,1,82.8,81.3,73.59,94.49,18,7,1,1,2,2,4,1
235,180,Ainceer,sidhant174,783,809,White,783,White,True,13.5,82.14,93.13,78.47,72.98,3,7,0,1,1,1,1,2,52.81,78.45,46.53,27.05,1,3,1,1,1,1,5,2,82.14,93.13,78.47,72.98,3,7,0,1,1,1,1,2
236,180,phat43va,Ainceer,744,792,Black,792,Black,True,28.0,63.04,70.9,46.31,71.04,8,7,1,0,2,0,10,1,78.72,71.65,66.67,98.63,15,6,0,1,0,0,6,1,78.72,71.65,66.67,98.63,15,6,0,1,0,0,10,1
237,180,Ainceer,sepjoo,802,827,White,802,White,True,47.0,75.55,74.4,66.6,86.32,20,10,3,0,3,2,9,1,68.44,46.35,74.87,85.13,16,11,1,2,2,3,12,0,75.55,74.4,66.6,86.32,20,10,3,0,3,2,9,1
238,180,caesarji,Ainceer,799,811,Black,811,Black,True,24.0,50.81,47.76,49.98,54.68,2,6,1,2,0,4,9,0,68.65,71.68,49.76,84.5,8,7,1,0,0,1,7,1,68.65,71.68,49.76,84.5,8,7,1,0,0,1,9,1
239,180,nihalbisht,Ainceer,772,819,Black,819,Black,True,9.0,54.07,60.63,67.74,33.84,2,1,1,1,0,0,4,2,60.78,67.33,36.94,78.07,3,1,0,0,1,2,2,1,60.78,67.33,36.94,78.07,3,1,0,0,1,2,4,1
240,180,AlexSinha,Ainceer,828,811,Black,811,White,False,24.5,72.11,73.61,70.41,72.13,10,6,0,2,1,0,6,1,58.07,77.63,48.21,48.37,6,3,2,1,1,4,7,1,58.07,77.63,48.21,48.37,6,3,2,1,1,4,6,1
241,180,Ainceer,hosseindarban,811,813,White,811,Draw,False,74.0,73.97,61.1,81.7,79.32,22,23,5,4,3,2,15,0,80.96,61.34,83.64,98.61,30,23,3,2,4,2,10,0,73.97,61.1,81.7,79.32,22,23,5,4,3,2,15,0
242,180,hosseindarban,Ainceer,813,811,Black,811,Draw,False,34.0,61.55,69.84,68.32,45.73,12,5,3,1,0,2,11,2,66.98,83.62,50.28,65.52,9,11,2,0,0,1,11,1,66.98,83.62,50.28,65.52,9,11,2,0,0,1,11,1
