Game number,Game type,White player,Black player,White rating,Black rating,My colour,My rating,Winner,Did i win?,number of moves,White accuracy,White opening accuracy,White middle accuracy,White end accuracy,No. best white,No. great white,No. good white,No. ok white,No. inaccuracy white,No. mistake white,No. blunder white,Improvement white,Black accuracy,Black opening accuracy,Black middle accuracy,Black end accuracy,No. best black,No. great black,No. good black,No. ok black,No. inaccuracy black,No. mistake black,No. blunder black,Improvement black,User accuracy,User opening accuracy,User middle accuracy,User end accuracy,No. best user,No. great user,No. good user,No. ok user,No. inaccuracy user,No. mistake user,No. blunder user,Improvement user
1984,60,Ainceer,PavlosCh1993,1157,1168,White,1157,White,True,30.5,68.48,86.95,59.55,57.08,9,10,0,2,0,1,9,2,71.55,77.5,56.51,80.64,10,7,2,1,2,2,6,1,68.48,86.95,59.55,57.08,9,10,0,2,0,1,9,2
1985,60,Ainceer,checkknightbishop,1170,1137,White,1170,White,True,50.5,68.73,57.45,64.85,83.87,14,13,1,3,3,7,10,0,72.06,80.59,61.74,73.96,10,19,3,2,3,3,10,1,68.73,57.45,64.85,83.87,14,13,1,3,3,7,10,0
1986,60,viseshan,Ainceer,1139,1182,Black,1182,Black,True,29.0,61.4,93.87,40.03,49.06,4,9,2,2,2,1,9,1,57.15,92.6,51.77,23.73,10,2,0,0,5,1,11,2,57.15,92.6,51.77,23.73,10,2,0,0,5,1,9,2
1987,60,Ainceer,eusouoewe,1169,1159,White,1169,Black,False,38.0,59.75,63.81,61.46,53.49,13,7,2,1,0,1,14,2,66.35,62.99,59.67,77.22,14,8,1,0,2,3,10,1,59.75,63.81,61.46,53.49,13,7,2,1,0,1,14,2
1988,60,Ainceer,Anton_Chess_154,1182,1189,White,1182,White,True,37.5,65.62,74.72,60.3,61.52,7,12,3,3,0,3,10,1,56.96,53.3,42.74,75.13,4,12,3,2,0,3,13,1,65.62,74.72,60.3,61.52,7,12,3,3,0,3,10,1
1989,600,The_Rock_Says,Ainceer,1233,1265,Black,1265,Draw,False,37.5,77.93,83.02,69.69,81.34,16,9,1,1,3,2,6,1,69.81,87.85,45.46,74.61,11,8,2,4,2,2,8,1,69.81,87.85,45.46,74.61,11,8,2,4,2,2,6,1
1990,180,Ainceer,LucaPedrazzi,1110,1154,White,1110,Draw,False,64.5,80.35,71.84,87.3,81.97,17,27,2,6,2,3,8,0,73.21,66.05,67.03,86.87,24,8,6,5,5,5,11,0,80.35,71.84,87.3,81.97,17,27,2,6,2,3,8,0
1991,180,alexpapana,Ainceer,1057,1117,Black,1117,Black,True,19.0,69.4,98.19,55.21,50.0,8,5,0,0,0,1,5,2,57.67,90.16,39.52,37.92,8,2,0,0,0,1,8,2,57.67,90.16,39.52,37.92,8,2,0,0,0,1,5,2
1992,180,Ainceer,detchess,1125,1120,White,1125,White,True,15.5,83.52,94.04,74.42,80.0,7,5,0,2,0,0,2,1,82.46,92.95,74.43,80.0,6,4,1,2,0,0,2,1,83.52,94.04,74.42,80.0,7,5,0,2,0,0,2,1
1993,180,detchess,Ainceer,1128,1117,Black,1117,White,False,49.5,79.56,74.84,80.83,83.21,25,10,2,0,3,2,8,0,82.84,88.38,77.21,82.58,23,14,2,0,3,1,6,1,82.84,88.38,77.21,82.58,23,14,2,0,3,1,8,1
