[INFO extract] | 2000-01-01 00:00:00
[INFO extract] | 2020-11-01 00:00:00
[INFO extract] | 2020-12-01 00:00:00
[INFO extract] | 2021-01-01 00:00:00
[INFO extract] | 2021-02-01 00:00:00
[INFO extract] | 2021-03-01 00:00:00
[INFO extract] | 2021-04-01 00:00:00
[INFO extract] | 2021-05-01 00:00:00
[INFO extract] | 2021-06-01 00:00:00
[INFO extract] | 2021-07-01 00:00:00
[INFO extract] | 2021-08-01 00:00:00
[INFO extract] | 2021-09-01 00:00:00
[INFO extract] | 2021-10-01 00:00:00
[INFO extract] | 2021-11-01 00:00:00
[INFO extract] | 2021-12-01 00:00:00
[INFO extract] | 2022-01-01 00:00:00
[INFO extract] | 2022-02-01 00:00:00
[INFO extract] | 2022-03-01 00:00:00
[INFO extract] | 2022-04-01 00:00:00
[INFO extract] | 2022-05-01 00:00:00
[INFO user_analysis] | 2020-11-22 21:07:58 |128
[INFO user_analysis] | 2020-11-22 21:19:28 |129
[INFO user_analysis] | 2020-11-22 21:29:50 |130
[INFO user_analysis] | 2020-11-22 22:28:08 |131
[INFO user_analysis] | 2020-11-22 22:33:37 |132
[INFO user_analysis] | 2020-11-22 22:43:46 |133
[INFO user_analysis] | 2020-11-22 22:49:27 |134
[INFO user_analysis] | 2020-11-23 12:50:03 |135
[INFO user_analysis] | 2020-11-23 12:56:05 |136
[INFO user_analysis] | 2020-11-23 15:45:11 |137
[INFO user_analysis] | 2020-11-23 15:58:00 |138
[INFO user_analysis] | 2020-11-23 16:07:51 |139
[INFO user_analysis] | 2020-11-23 16:08:42 |140
[INFO user_analysis] | 2020-11-23 16:17:28 |141
[INFO user_analysis] | 2020-11-23 16:23:10 |142
[INFO user_analysis] | 2020-11-23 16:53:33 |143
[INFO user_analysis] | 2020-11-23 22:48:16 |144
[INFO user_analysis] | 2020-11-23 22:58:21 |145
[INFO user_analysis] | 2020-11-23 23:07:12 |146
[INFO user_analysis] | 2020-11-24 22:43:00 |147
[INFO user_analysis] | 2020-11-24 22:47:40 |148
[INFO user_analysis] | 2020-11-25 13:21:10 |149
[INFO user_analysis] | 2020-11-25 13:34:29 |150
[INFO user_analysis] | 2020-11-25 17:10:32 |151
[INFO user_analysis] | 2020-11-25 17:29:08 |152
[INFO user_analysis] | 2020-11-25 21:08:21 |153
[INFO user_analysis] | 2020-11-25 21:21:10 |154
[INFO user_analysis] | 2020-11-25 21:23:45 |155
[INFO user_analysis] | 2020-11-26 18:54:21 |156
[INFO user_analysis] | 2020-11-26 18:58:15 |157
[INFO user_analysis] | 2020-11-26 19:09:27 |158
[INFO user_analysis] | 2020-11-26 19:12:10 |159
[INFO user_analysis] | 2020-11-26 19:25:12 |160
[INFO user_analysis] | 2020-11-26 22:18:33 |161
[INFO user_analysis] | 2020-11-26 22:32:12 |162
[INFO user_analysis] | 2020-11-26 22:46:17 |163
[INFO user_analysis] | 2020-11-26 22:53:16 |164
[INFO user_analysis] | 2020-11-26 22:56:59 |165
[INFO user_analysis] | 2020-11-27 10:14:24 |166
[INFO user_analysis] | 2020-11-27 10:21:01 |167
[INFO user_analysis] | 2020-11-27 10:30:13 |168
[INFO user_analysis] | 2020-11-27 10:37:19 |169
[INFO user_analysis] | 2020-11-27 22:20:36 |170
[INFO user_analysis] | 2020-11-27 22:31:41 |171
[INFO user_analysis] | 2020-11-27 22:34:03 |172
[INFO user_analysis] | 2020-11-27 22:41:30 |173
[INFO user_analysis] | 2020-11-27 22:47:28 |174
